Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/16/25,Thursday,20,Chick-Fil-A,Food,Debit,Want
1/16/25,Thursday,9,sharetea boba,Food,Debit,Want
1/16/25,Thursday,10,Underdog,Entertainment and Recreation,Debit,Need
1/16/25,Thursday,30,Zelle payment,Bills,Debit,Savings
1/16/25,Thursday,5,Wepa printing,Financial goals and Savings,Debit,Need
1/17/25,Friday,15,Netflix,Entertainment and Recreation,Debit,Want
1/17/25,Friday,42,Panera Bread,Food,Debit,Want
1/18/25,Saturday,20,Underdog,Entertainment and Recreation,Debit,Need
1/19/25,Sunday,190,Zelle payment,Bills,Debit,Savings
1/21/25,Tuesday,6,Tpumps,Food,Debit,Want
1/21/25,Tuesday,2,trader joes,Food,Debit,Want
1/21/25,Tuesday,40,Underdog,Entertainment and Recreation,Debit,Savings
1/21/25,Tuesday,3,icloud,Bills,Debit,Need
1/21/25,Tuesday,21,7leaves Cafe,Food,Debit,Want
1/22/25,Wednesday,7,Chick-Fil-A,Food,Debit,Want
1/22/25,Wednesday,50,Underdog,Entertainment and Recreation,Debit,Savings
1/24/25,Friday,30,Underdog,Entertainment and Recreation,Debit,Savings
1/24/25,Friday,24,Amazon,Entertainment and Recreation,Debit,Want
1/25/25,Saturday,20,Uber Eats,Food,Debit,Want
1/27/25,Monday,8,Tea Hut,Food,Debit,Want
1/27/25,Monday,13,Chick-Fil-A,Food,Debit,Want
1/27/25,Monday,40,Haircut ,Entertainment and Recreation,Debit,Need
1/27/25,Monday,10,Underdog,Entertainment and Recreation,Debit,Savings
1/28/25,Tuesday,30,Uber Eats,Food,Debit,Want
1/28/25,Tuesday,7,TigerTea&Juice,Food,Debit,Want
1/29/25,Wednesday,12,Spotify,Entertainment and Recreation,Debit,Need
1/30/25,Thursday,7,TigerTea&Juice,Food,Debit,Want
1/30/25,Thursday,10,Underdog,Entertainment and Recreation,Debit,Savings
2/1/25,Saturday,26,Uber Eats,Food,Debit,Want
2/1/25,Saturday,3,Apple,Entertainment and Recreation,Debit,Want
2/1/25,Saturday,1,Apple,Entertainment and Recreation,Debit,Want
2/1/25,Saturday,10,Chalkboard,Entertainment and Recreation,Debit,Savings
2/1/25,Saturday,20,Underdog,Entertainment and Recreation,Debit,Savings
